"state","total_population","under_18","x65_over","pediatric_asthma_sufferers","adult_asthma_sufferers","copd_sufferers","lung_cancer_sufferers","heart_disease","ever_smoked","poverty","people_of_color","orange_ozone_days","red_ozone_days","purple_ozone_days","wgt_avg_ozone_days","ozone_grade","orange_pollutant_days","red_pollutant_days","purple_pollutant_days","maroon_pollutant_days","wgt_avg_pollutant_days","pollutant_grade","annual_design_value","annual_pass_fail","latitude","longitude"
"Alabama",3005900,677073,488539,89354,245979,238109,1971,298198,1019215,460215,1166330,"0","0","0","0","A","0","0","0","0","0","A",7.7,"PASS",32.806671,-86.79113
"Alaska",532291,131274,59894,9395,36727,23086,295,26853,173561,48550,189405,"0","0","0","0","A","1","0","0","0","0.3","B",6,"PASS",61.370716,-152.404419
"Arizona",7124091,1629780,1251692,131383,555189,395323,3183,515896,2228792,982188,3244979,"DNC","0","0","DNC","F","DNC","0","0","0","DNC","DNC",8.8,"PASS",33.729759,-111.431221
"Arkansas",1029362,240553,162384,17216,78062,75855,804,100502,370146,173589,371973,"DNC","DNC","0","DNC","DNC","0","0","0","0","0","A",8.3,"PASS",34.969704,-92.373123
"California",39422802,8958610,5647400,553080,2596981,1405180,15269,2034566,10142487,4951178,24936906,"0","0","0","0","F","DNC","0","0","0","DNC","F",9.85,"PASS",36.116203,-119.681564
"Colorado",5165921,1156958,714977,82806,361824,173111,2096,231966,1619842,482314,1682695,"INC","0","0","INC","F","DNC","0","0","0","DNC","DNC",7,"PASS",39.059811,-105.311104
"Connecticut",3572665,735193,615121,71401,294014,153797,2123,216510,1130085,358521,1196314,"12","1","0","10.2","F","0","0","0","0","0","A",7.15,"PASS",41.597782,-72.755371
"Delaware",967171,203616,181086,14573,77391,54049,657,69499,323335,114692,368110,"22","0","0","1.7","C","0","0","0","0","0","A",6.7,"INC",39.318523,-75.507141
"District of Columbia",702455,127494,85303,13885,67121,30357,275,36404,199495,107806,442187,"14","1","0","5.2","F","2","0","0","0","0.7","B",9,"PASS",38.897438,-77.026817
"Florida",19454790,3884327,3891944,289390,1368014,1272863,10870,1689554,6505160,2609732,9423919,"0","0","0","0","A","DNC","DNC","DNC","DNC","DNC","DNC",6.7,"DNC",27.766279,-81.686783
"Georgia",6705024,1609423,840938,122001,456757,367278,4193,451097,1910726,899609,3773776,"DNC","0","0","DNC","DNC","1","0","0","0","DNC","B",8.7,"PASS",33.040619,-83.643074
"Hawaii",1420403,303414,260930,30960,103651,45701,650,84808,439810,124399,1111383,"DNC","DNC","DNC","DNC","DNC","0","0","0","0","0","A",3.85,"PASS",21.094318,-157.498337
"Idaho",867451,220074,128637,15749,55648,35749,419,50025,245580,93632,169584,"DNC","DNC","DNC","DNC","DNC","7","1","0","0","DNC","F",10.3,"INC",44.240459,-114.478828
"Illinois",10405870,2345162,1560499,140822,703251,526781,6577,656732,3082009,1221804,4645689,"3","0","0","1","C","0","0","0","0","0","A",8.6,"PASS",40.349457,-88.986137
"Indiana",5127419,1203389,774891,104727,388294,351580,3675,422708,1768551,664918,1289466,"DNC","0","0","DNC","F","0","0","0","0","0","A",8.3,"PASS",39.849426,-86.258278
"Iowa",1720901,398950,258436,22962,105154,73410,1023,97990,539718,200019,318802,"DNC","0","0","DNC","DNC","0","0","0","0","0","A",7.8,"PASS",42.011539,-93.210526
"Kansas",1577077,394943,233773,30154,116530,79896,890,105205,495789,167681,452596,"0","0","0","0","A","0","0","0","0","0","A",7.8,"PASS",38.5266,-96.726486
"Kentucky",2512214,566426,392551,33391,221059,233111,2224,240062,982149,368131,533371,"0","0","0","0","A","DNC","0","0","0","DNC","DNC",8.15,"PASS",37.66814,-84.670067
"Louisiana",3477965,814617,524497,71282,239948,262864,2253,304450,1153024,585399,1502779,"0","0","0","0","A","0","0","0","0","0","A",8,"PASS",31.169546,-91.867805
"Maine",1161342,218121,234656,16097,115693,75917,865,99366,469742,128421,83383,"0","0","0","0","A","0","0","0","0","0","A",6.1,"PASS",44.693947,-69.381927
"Maryland",5557863,1239145,841159,93705,407928,247895,3029,362923,1563963,484164,2868168,"5","0","0","1.7","F","0","0","0","0","0","A",7.6,"PASS",39.063946,-76.802101
"Massachusetts",6890822,1364460,1137420,87573,565921,278339,3955,398909,2143719,667733,1970765,"8","0","0","3.3","F","0","0","0","0","0","A",5.4,"PASS",42.230171,-71.530106
"Michigan",7504826,1653225,1220525,141919,654032,499536,4568,560157,2653965,1048005,2211595,"11","0","0","2.3","F","0","0","0","0","0","A",7.6,"PASS",43.326618,-84.536095
"Minnesota",3972777,922501,590595,48709,252527,130660,2214,211720,1247081,373111,971755,"0","0","0","0","A","1","0","0","0","0.3","B",5.8,"PASS",45.694454,-93.900192
"Mississippi",1116682,268266,166844,17459,81804,81832,854,96830,363762,196381,510346,"0","0","0","0","A","0","0","0","0","0","A",7.9,"PASS",32.741646,-89.678696
"Missouri",3912444,877264,622910,73802,284533,271192,2696,297686,1333768,461025,1033073,"0","0","0","0","B","DNC","DNC","DNC","DNC","DNC","DNC",7.9,"DNC",38.456085,-92.288368
"Montana",696448,147509,123259,7860,55146,31640,366,48267,242361,80827,73288,"0","0","0","0","A","6","1","0","0","4.5","F",8.7,"PASS",46.921925,-110.454353
"Nebraska",1195293,301290,161318,15155,79812,53329,619,64608,351039,127639,305499,"DNC","DNC","DNC","DNC","DNC","0","0","0","0","0","A",6.9,"PASS",41.12537,-98.268082
"Nevada",2943446,671267,454008,46727,181100,162293,1490,205150,939183,378930,1533136,"12","0","0","1.3","F","DNC","DNC","DNC","0","DNC","DNC",7.25,"DNC",38.313515,-117.055374
"New Hampshire",1134445,218200,203241,18577,109064,73975,714,71524,413474,79277,119446,"0","0","0","0","A","0","0","0","0","0","A",5.2,"PASS",43.452492,-71.563896
"New Jersey",7836006,1731008,1250923,125441,515048,335796,4256,494760,2234426,765040,3671202,"1","0","0","0.3","F","0","0","0","0","0","A",8.15,"PASS",40.298904,-74.521011
"New Mexico",1592309,363297,272582,27336,121785,77303,587,101088,499152,275701,1005607,"6","0","0","2","F","DNC","DNC","DNC","DNC","DNC","DNC",7.8,"DNC",34.840515,-106.248482
"New York",15619529,3272397,2482346,201580,1261511,700282,9019,957681,4485088,2199775,7807335,"4","0","0","1.3","C","0","0","0","0","0","A",6.85,"PASS",42.165726,-74.948051
"North Carolina",6243227,1405256,919904,161486,458607,384752,4159,474321,2072675,800683,2500542,"0","0","0","0","A","DNC","DNC","DNC","DNC","DNC","DNC",7.8,"DNC",35.630066,-79.806419
"North Dakota",411085,97516,53742,6344,25714,15012,224,23604,133415,37133,63274,"0","0","0","0","A","1","1","0","0","0.8","B",4.2,"PASS",47.528912,-99.784012
"Ohio",9233344,2032822,1547361,158013,678504,607851,6084,731729,3297700,1278157,2289855,"1","0","0","0.3","F","0","0","0","0","0","A",7.9,"PASS",40.388783,-82.764915
"Oklahoma",2742190,673977,410932,66038,214431,173272,1758,236072,920166,409431,1012459,"INC","0","0","INC","INC","DNC","DNC","DNC","DNC","DNC","DNC",8.2,"DNC",35.565342,-96.928917
"Oregon",3122212,655619,514803,47532,289656,165074,1579,226797,1058143,378494,841426,"DNC","DNC","0","DNC","DNC","DNC","DNC","0","0","DNC","F",9.6,"PASS",44.572021,-122.070938
"Pennsylvania",11421224,2378339,2049277,231498,912525,643299,7303,882007,3881293,1356340,2965814,"2","0","0","0.7","B","0","0","0","0","0","A",8.65,"PASS",40.590752,-77.209755
"Rhode Island",926124,182141,154343,14317,88083,50796,639,67726,313128,120558,279830,"16","0","0","5.3","F","0","0","0","0","0","A",5.1,"PASS",41.680893,-71.51178
"South Carolina",3753210,819496,630113,58649,266666,239057,2277,295865,1278279,516511,1260861,"0","0","0","0","A","DNC","DNC","0","0","DNC","DNC",8.1,"DNC",33.856892,-80.945007
"South Dakota",480764,114958,74475,8227,28808,16072,284,31705,160554,50393,80348,"DNC","0","0","DNC","DNC","1","0","0","0","0.3","B",5.9,"PASS",44.299782,-99.438828
"Tennessee",4303997,971374,663166,94605,325924,351126,3116,396046,1507103,622320,1407889,"DNC","0","0","DNC","DNC","0","0","0","0","0","A",7.5,"PASS",35.747845,-86.692345
"Texas",21943363,5753645,2550248,455293,1209409,975409,10866,1420798,5778274,3261625,13724744,"0","0","0","0","F","DNC","DNC","DNC","DNC","DNC","DNC",9,"DNC",31.054487,-97.563461
"Utah",2955518,874529,320641,47995,194236,86598,753,121112,521186,265061,667546,"2","0","0","0.7","F","DNC","0","0","0","DNC","F",7.7,"PASS",40.150032,-111.862434
"Vermont",258875,46359,45790,4077,25951,12334,158,15562,92879,25786,24616,"0","0","0","0","A","0","0","0","0","0","A",5.7,"PASS",44.045876,-72.710686
"Virginia",5056363,1158717,689557,82930,334829,240862,2911,303486,1460498,420913,2208019,"1","0","0","0.3","B","0","0","0","0","0","A",6.8,"PASS",37.769337,-78.169968
"Washington",6587818,1451783,978444,106122,492027,255538,3543,391100,1935360,638970,2150404,"DNC","0","0","DNC","DNC","DNC","3","0","0","DNC","F",7.6,"PASS",47.400902,-121.490494
"West Virginia",878679,174576,166077,16434,86345,105802,673,105895,348759,135231,86562,"1","0","0","0.3","B","0","0","0","0","0","A",7.95,"PASS",38.491226,-80.954453
"Wisconsin",4183107,928484,669653,78346,298790,169776,2468,238831,1387600,467998,966988,"0","0","0","0","C","0","0","0","0","0","A",6.65,"PASS",44.268543,-89.616508
"Wyoming",527459,122919,84823,10560,35163,26142,237,32924,182334,55263,88537,"0","0","0","0","A","2","0","0","0","0.7","B",4.9,"PASS",42.755966,-107.30249
